,nama,jarak tempuh,nama dealer,rate,banyak review,harga
0,2017 Mercedes-Benz GLC 300 4MATIC Coupe,"64,868 mi.",Mercedes-Benz of Austin,4.8,"(1,335 reviews)","$33,499"
1,2019 Mercedes-Benz GLA 250 Base 4MATIC,"12,743 mi.",Rallye Motors,4.8,"(4,209 reviews)","$29,900"
2,2018 Mercedes-Benz AMG GLE 63 S Coupe 4MATIC,"37,004 mi.",Mercedes-Benz of Pompano,4.5,(784 reviews),"$71,495"
3,2020 Mercedes-Benz S-Class S 560 4MATIC,"36,789 mi.",Mercedes-Benz of Springfield,4.9,(102 reviews),"$64,780"
4,2021 Mercedes-Benz E-Class E 450 4MATIC,"12,477 mi.",Benzel-Busch Motor Car,4.5,"(5,263 reviews)","$77,577"
5,2021 Mercedes-Benz GLA 250 Base 4MATIC,"16,019 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$37,427"
6,2021 Mercedes-Benz GLS 580 Base 4MATIC,"37,380 mi.",Mercedes-Benz of Fredericksburg,4.7,(431 reviews),"$89,495"
7,2020 Mercedes-Benz GLS 450 Base 4MATIC,"44,099 mi.",Capital Eurocars,4.9,"(1,961 reviews)","$59,499"
8,2022 Mercedes-Benz S-Class S 500 4MATIC,"16,199 mi.",Mercedes-Benz of Novi,4.6,(788 reviews),"$94,000"
9,2023 Mercedes-Benz E-Class E 450 4MATIC,"6,521 mi.",Mercedes-Benz of Westwood,2.4,(441 reviews),"$67,885"
10,2019 Mercedes-Benz AMG S 63 Base 4MATIC,"35,537 mi.",Mercedes-Benz of Arcadia,4.8,"(1,209 reviews)","$91,888"
11,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"26,054 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$71,997"
12,2019 Mercedes-Benz SL 450 Base,"8,291 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$70,998"
13,2022 Mercedes-Benz E-Class E 350 4MATIC,"21,744 mi.",Feldmann Imports,4.4,(640 reviews),"$54,620"
14,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"17,352 mi.",Mercedes-Benz of Alexandria,3.8,(995 reviews),"$84,995"
15,2020 Mercedes-Benz GLS 580 Base 4MATIC,"16,561 mi.",Mercedes-Benz of Alexandria,3.8,(995 reviews),"$92,995"
16,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"18,640 mi.",Mercedes-Benz of Elmbrook,4.2,(134 reviews),"$77,755"
17,2018 Mercedes-Benz AMG C 43 Base 4MATIC,"44,453 mi.",Mercedes-Benz of Owings Mills,4.9,"(2,275 reviews)","$36,990"
18,2021 Mercedes-Benz GLS 450 4MATIC,"31,476 mi.",Mercedes-Benz of Alexandria,3.8,(995 reviews),"$69,995"
19,2019 Mercedes-Benz SL 550 Base,"10,590 mi.",Rallye Motors,4.8,"(4,209 reviews)","$79,900"
20,2019 Mercedes-Benz S-Class S 560 4MATIC,"26,468 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$86,288"
21,2021 Mercedes-Benz GLC 300 Base,"16,522 mi.",Mercedes-Benz of Lynnwood,4.4,(130 reviews),"$43,995"
22,2022 Mercedes-Benz AMG C 43 Base 4MATIC,"8,139 mi.",Mercedes-Benz of Kansas City,4.7,(766 reviews),"$65,994"
23,2019 Mercedes-Benz GLC 300 4MATIC Coupe,"67,373 mi.",Mercedes-Benz Of Tampa,4.1,"(3,520 reviews)","$39,480"
24,2019 Mercedes-Benz S-Class S 560 4MATIC,"26,468 mi.",Mercedes-Benz of Edison,5.0,"(3,933 reviews)","$86,288"
25,2020 Mercedes-Benz AMG GT C,"28,482 mi.",Mercedes-Benz of Knoxville,4.7,(339 reviews),"$122,000"
26,2022 Mercedes-Benz AMG GLA 35 Base,"8,690 mi.",Mercedes-Benz of Fort Washington,4.5,"(2,784 reviews)","$50,435"
27,2019 Mercedes-Benz SL 550 Base,"10,590 mi.",Rallye Motors,4.8,"(4,209 reviews)","$79,900"
28,2021 Mercedes-Benz GLE 450 AWD 4MATIC,"16,210 mi.",Volkswagen of Quad Cities,4.8,(179 reviews),"$64,500"
29,2019 Mercedes-Benz AMG C 43 Base 4MATIC,"12,742 mi.",Mercedes-Benz of Alexandria,3.8,(995 reviews),"$52,995"
30,2017 Mercedes-Benz C-Class C 300,"60,889 mi.",Capital Eurocars,4.9,"(1,961 reviews)","$24,991"
31,2021 Mercedes-Benz AMG GLE 53 Base,"37,688 mi.",John Sisson Motors,2.6,(37 reviews),"$77,946"
32,2020 Mercedes-Benz GLE 350 Base 4MATIC,"21,861 mi.",Mercedes-Benz of Alexandria,3.8,(995 reviews),"$54,895"
33,2020 Mercedes-Benz G-Class G 550 4MATIC,"18,109 mi.",Bergstrom Luxury on Victory Lane,4.2,(292 reviews),"$149,996"
34,2022 Mercedes-Benz AMG GT 53 Base,"7,913 mi.",Mercedes-Benz of Fort Mitchell,4.7,(598 reviews),"$99,998"
35,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"28,450 mi.",Mercedes-Benz of Walnut Creek,4.5,"(1,015 reviews)","$54,986"
36,2020 Mercedes-Benz AMG C 43 Base 4MATIC,"46,435 mi.",Mercedes-Benz Of Athens,4.1,(276 reviews),"$45,490"
37,2019 Mercedes-Benz S-Class S 560 4MATIC,"40,477 mi.",Mercedes-Benz of Des Moines,4.2,(372 reviews),"$63,636"
38,2020 Mercedes-Benz GLE 350 Base 4MATIC,"22,412 mi.",Mercedes-Benz of Alexandria,3.8,(995 reviews),"$56,895"
39,2021 Mercedes-Benz GLS 450 4MATIC,"38,590 mi.",Mercedes-Benz of Knoxville,4.7,(339 reviews),"$74,500"
40,2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"24,208 mi.",Mercedes-Benz of Mt. Pleasant,4.5,(67 reviews),"$54,988"
41,2020 Mercedes-Benz GLS 450 Base 4MATIC,"25,633 mi.",Mercedes-Benz of Loveland,4.7,(671 reviews),"$64,990"
42,2020 Mercedes-Benz CLS 450 Base,"29,017 mi.",Mercedes-Benz of Laguna Niguel,4.7,"(1,810 reviews)","$53,500"
43,2021 Mercedes-Benz AMG GLE 53 Base,"22,374 mi.",John Sisson Motors,2.6,(37 reviews),"$81,923"
44,2022 Mercedes-Benz AMG GLB 35 Base,"4,455 mi.",Mercedes-Benz of Littleton,4.6,"(1,153 reviews)","$56,599"
45,2022 Mercedes-Benz G-Class G 550 4MATIC,"4,600 mi.",Mercedes-Benz of Valencia,4.3,"(1,122 reviews)","$159,999"
46,2020 Mercedes-Benz C-Class C 300 4MATIC,"19,609 mi.",Mercedes-Benz of Georgetown,4.6,(446 reviews),"$36,728"
47,2021 Mercedes-Benz Maybach GLS 600 4MATIC,"10,770 mi.",Mercedes-Benz of Buckhead,4.0,(932 reviews),"$160,000"
48,2021 Mercedes-Benz AMG GLE 53 Base,"33,578 mi.",Mercedes-Benz of Rochester,4.7,(152 reviews),"$78,995"
49,2020 Mercedes-Benz AMG CLA 35 Base 4MATIC,"36,551 mi.",Sears Imported Autos,4.9,"(2,212 reviews)","$40,906"
50,2021 Mercedes-Benz CLA 250 Base 4MATIC,"16,701 mi.",Mercedes-Benz of Tysons Corner,4.6,(908 reviews),"$39,995"
51,2023 Mercedes-Benz C-Class C 300 4MATIC,366 mi.,Mercedes-Benz of Lubbock,n/a,(1 review),"$54,591"
52,2020 Mercedes-Benz CLA 250 Base,"29,509 mi.",Mercedes-Benz of Bakersfield,n/a,(541 reviews),"$33,991"
53,2022 Mercedes-Benz AMG GLE 53 Base,"2,925 mi.",Mercedes-Benz of Columbia,5.0,(948 reviews),"$89,444"
54,2018 Mercedes-Benz AMG SLC 43 Base,"24,889 mi.",Fletcher Jones Motorcars - Newport Beach,4.9,"(5,346 reviews)","$45,894"
